BveTs Station List 1.00
#stationKey,stationText,arrivalTime,depertureTime,stoppageTime,defaultTime,signalFlag,alightingTime,passengers,arrivalSoundKey,depertureSoundKey,doorReopen,stuckInDoor
1,博麗神社 ②,8:18:20,8:20:20,51,8:18:20,1,0,0,102-hkr,hakurei-t2-local-dep,0,0
2,南   博   麗,8:25:10,8:25:40,30,8:25:10,0,0,0,102-s1,minamihakurei,0,0
3,永   遠   亭,8:30:50,8:31:20,30,8:30:50,1,0,0,102-s1,eientei,0,0
4,竹         林,8:34:40,8:35:10,30,8:34:40,0,0,0,102-s1,chikurin,0,0
5,南人間の里,8:41:10,8:41:50,40,,0,0,0,minaminingen1,minaminingen2,0,0
6,人間の里 ④,8:44:00,8:46:10,47,8:44:00,1,0,0,ningen1+102nin,ningen-t4-localdep,0,0
7,西人間の里,8:49:00,8:49:35,35,8:49:00,0,0,0,nishiningen1,nishiningen2,0,0
8,命   蓮   寺,8:53:40,8:54:20,40,8:53:40,0,0,0,,myorenji,0,0
9,北 命 蓮 寺,8:56:15,8:56:45,30,8:56:45,0,0,0,102-s2,kitamyorenji,0,0
10,妖怪の樹海,9:01:20,9:01:50,30,9:01:20,0,0,0,102-s2,jyukai,0,0
11,草         田,9:04:25,9:04:55,30,9:04:25,0,0,0,102-s2,kusada,0,0
12,守矢神社 ②,9:07:25,9:09:25,38,9:07:25,1,0,0,moriya1+102mry,moriya-t2-localdep,0,0
13,風 神 の 湖,9:12:00,9:12:45,13,9:12:00,0,0,0,102-s3,cl-nomusic,0,0
14,東守矢（信）,p,,30,,0,0,0,,,0,0
15,玄 武 の 沢,9:18:45,9:19:30,13,9:18:45,0,0,0,102-s3,cl-nomusic,0,0
16,香 霖 堂 前,9:23:50,9:24:50,25,9:23:50,1,0,0,,korindo,0,0
17,魔 法 の 森,9:27:15,9:28:00,24,9:27:15,0,0,0,102-s3,mahonomori,0,0
18,霧   の   湖,9:30:45,9:31:30,24,9:30:45,0,0,0,102-s3,kirinoko,0,0
19,紅  魔  館①,9:33:30,9:35:30,41,9:33:30,1,0,0,kouma1+102kmk,kouma-t1-loop-local-dep,0,0
20,上 霧 の 湖,9:38:30,9:39:15,24,9:38:30,0,0,0,102-s4,kirinoko,0,0
21,北   博   麗,9:41:10,9:41:55,30,9:41:10,0,0,0,102-s4,kitahakurei,0,0
22,博麗神社_②,9:44:00,t,45,9:44:00,1,0,0,hakurei1,,0,0
